2018-11-29 16:00:15.871 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2018-11-29 17:54:49.344 [pool-1-thread-5] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-5，消费完成，耗费时间:63 ms,消费数据长度:100002
2018-11-29 17:54:49.446 [pool-1-thread-8] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-8，消费完成，耗费时间:48 ms,消费数据长度:100004
2018-11-29 17:54:49.571 [pool-1-thread-13] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-13，消费完成，耗费时间:52 ms,消费数据长度:100003
2018-11-29 17:58:14.156 [main] INFO  com.metadata.yg.handle.WriteDataHandle - flush线程：main, 需要保存数据的集合长度:41564
2018-11-29 17:58:14.206 [main] INFO  com.metadata.yg.handle.WriteDataHandle - flush线程：main, 消费完成，消费数据长度：41564
2018-11-29 18:00:50.907 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2018-11-29 18:00:51.330 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2018-11-29 18:00:52.778 [main] INFO  c.m.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1br9si99zqc2haqe7bl9q|29774679, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.facebook.presto.jdbc.PrestoDriver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1br9si99zqc2haqe7bl9q|29774679, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:presto://master01:16060/hive/default, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2018-11-29 18:00:52.858 [main] INFO  com.metadata.yg.utils.C3P0Utils - C3p0连接创建成功
2018-11-29 18:00:57.890 [pool-1-thread-1] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-1，消费完成，耗费时间:137 ms,消费数据长度:100004
2018-11-29 18:01:00.687 [pool-1-thread-6] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-6，消费完成，耗费时间:135 ms,消费数据长度:100003
2018-11-29 18:01:02.219 [pool-1-thread-10] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-10，消费完成，耗费时间:485 ms,消费数据长度:100005
2018-11-29 18:01:02.364 [pool-1-thread-16] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-16，消费完成，耗费时间:80 ms,消费数据长度:100004
2018-11-29 18:01:37.908 [main] INFO  com.metadata.yg.handle.WriteDataHandle - flush线程：main, 需要保存数据的集合长度:41560
2018-11-29 18:01:37.961 [main] INFO  com.metadata.yg.handle.WriteDataHandle - flush线程：main, 消费完成，消费数据长度：41560
